Rank,Universitas,Negara,Score
1544Top 7.6%,"Indian Statistical Institute, Kolkata",India,67.7
1545Top 7.6%,Ontario Tech University,Canada,67.7
1546Top 7.6%,International Islamic University Malaysia,Malaysia,67.7
1547Top 7.6%,Imam Abdulrahman Bin Faisal University,Saudi Arabia,67.7
1548Top 7.6%,Institute of Applied Physics of the Russian Academy of Sciences,Russia,67.7
1549Top 7.6%,Maria Curie-Skłodowska University,Poland,67.7
1550Top 7.6%,Shanghai University of Electric Power,China,67.7
1551Top 7.6%,Indian Institute of Technology Bhubaneswar,India,67.7
1552Top 7.6%,Ariel University,Israel,67.7
1553Top 7.6%,Semnan University,Iran,67.7
1554Top 7.6%,Nagoya Institute of Technology,Japan,67.7
1555Top 7.6%,Iuliu Hațieganu University of Medicine and Pharmacy,Romania,67.7
1556Top 7.6%,King Mongkut's University of Technology Thonburi,Thailand,67.7
1557Top 7.6%,Fırat University,Turkey,67.7
1558Top 7.6%,University of Southern Mississippi,USA,67.6
1559Top 7.6%,Harbin University of Science and Technology,China,67.6
1560Top 7.6%,Henan University of Technology,China,67.6
1561Top 7.7%,Guilin University of Technology,China,67.6
1562Top 7.7%,Zhengzhou University of Light Industry,China,67.6
1563Top 7.7%,University of Évora,Portugal,67.6
1564Top 7.7%,Kookmin University,South Korea,67.6
1565Top 7.7%,University of Guilan,Iran,67.6
1566Top 7.7%,Lobachevsky University,Russia,67.6
1567Top 7.7%,Baruch College,USA,67.6
1568Top 7.7%,Sabancı University,Turkey,67.6
1569Top 7.7%,Hebei Agricultural University,China,67.6
1570Top 7.7%,Central South University of Forestry and Technology,China,67.6
1571Top 7.7%,Hamamatsu University School of Medicine,Japan,67.6
1572Top 7.7%,Near East University,Northern Cyprus,67.6
1573Top 7.7%,Hampton University,USA,67.6
1574Top 7.7%,Zhongnan University of Economics and Law,China,67.6
1575Top 7.7%,Norwegian School of Sport Sciences,Norway,67.6
1576Top 7.7%,Open University of Catalonia,Spain,67.6
1577Top 7.7%,Lincoln University,New Zealand,67.6
1578Top 7.7%,University of Zambia,Zambia,67.6
1579Top 7.7%,"National Institute of Technology, Tiruchirappalli",India,67.6
1580Top 7.7%,Guangdong Medical University,China,67.6
1581Top 7.8%,Shiga University of Medical Science,Japan,67.6
1582Top 7.8%,Tamil Nadu Dr. M.G.R. Medical University,India,67.5
1583Top 7.8%,Sichuan Normal University,China,67.5
1584Top 7.8%,MARA University of Technology,Malaysia,67.5
1585Top 7.8%,Xinjiang Medical University,China,67.5
1586Top 7.8%,Taibah University,Saudi Arabia,67.5
1587Top 7.8%,University of Tulsa,USA,67.5
1588Top 7.8%,University of Rijeka,Croatia,67.5
1589Top 7.8%,Wakayama Medical University,Japan,67.5
1590Top 7.8%,Clarkson University,USA,67.5
1591Top 7.8%,Nanchang Hangkong University,China,67.5
1592Top 7.8%,Foshan University,China,67.5
1593Top 7.8%,I-Shou University,Taiwan,67.5
1594Top 7.8%,University of Huelva,Spain,67.5
1595Top 7.8%,Shahid Bahonar University of Kerman,Iran,67.5
1596Top 7.8%,University of Lethbridge,Canada,67.5
1597Top 7.8%,Grinnell College,USA,67.5
1598Top 7.8%,University of Toulouse-Jean Jaurès,France,67.5
1599Top 7.8%,Sheffield Hallam University,United Kingdom,67.5
1600Top 7.8%,Arts et Métiers Sciences et Technologies,France,67.5
1601Top 7.8%,Pontifical Javeriana University,Colombia,67.5
1602Top 7.9%,Oslo Metropolitan University,Norway,67.5
1603Top 7.9%,Central Queensland University,Australia,67.5
1604Top 7.9%,Technical University of Ilmenau,Germany,67.5
1605Top 7.9%,University of Kragujevac,Serbia,67.5
1606Top 7.9%,Kyoto University of Education,Japan,67.4
1607Top 7.9%,University of Peshawar,Pakistan,67.4
1608Top 7.9%,N.N. Semenov Institute of Chemical Physics of the Russian Academy of Sciences,Russia,67.4
1609Top 7.9%,Nara Medical University,Japan,67.4
1610Top 7.9%,Pontifical Catholic University of Peru,Peru,67.4
1611Top 7.9%,Southwest Medical University,China,67.4
1612Top 7.9%,Aichi Medical University,Japan,67.4
1613Top 7.9%,Kwangwoon University,South Korea,67.4
1614Top 7.9%,Xi'an University of Science and Technology,China,67.4
1615Top 7.9%,Lithuanian University of Health Sciences,Lithuania,67.4
1616Top 7.9%,University of Peradeniya,Sri Lanka,67.4
1617Top 7.9%,Razi University,Iran,67.4
1618Top 7.9%,Texas Tech University Health Sciences Center,USA,67.4
1619Top 7.9%,University of Valparaíso,Chile,67.4
1620Top 7.9%,Jamia Millia Islamia,India,67.4
1621Top 7.9%,Ondokuz Mayıs University,Turkey,67.4
1622Top 8%,National University of the Littoral,Argentina,67.4
1623Top 8%,Thammasat University,Thailand,67.4
1624Top 8%,Kingston University,United Kingdom,67.4
1625Top 8%,Changchun University of Science and Technology,China,67.4
1626Top 8%,Georgian Technical University,Georgia,67.4
1627Top 8%,Xi'an Jiaotong-Liverpool University,China,67.4
1628Top 8%,Urmia University,Iran,67.4
1629Top 8%,Medical University of Białystok,Poland,67.4
1630Top 8%,Mimar Sinan Fine Arts University,Turkey,67.3
1631Top 8%,ISCTE – University Institute of Lisbon,Portugal,67.3
1632Top 8%,Sapporo Medical University,Japan,67.3
1633Top 8%,CY Cergy Paris University,France,67.3
1634Top 8%,Indian Institute of Technology Gandhinagar,India,67.3
1635Top 8%,Menoufia University,Egypt,67.3
1636Top 8%,Suranaree University of Technology,Thailand,67.3
1637Top 8%,Slovak University of Technology in Bratislava,Slovak Republic,67.3
1638Top 8%,Guangdong Pharmaceutical University,China,67.3
1639Top 8%,Illinois State University,USA,67.3
1640Top 8%,Linyi University,China,67.3
1641Top 8%,Bu-Ali Sina University,Iran,67.3
1642Top 8%,Benha University,Egypt,67.3
1643Top 8.1%,Chapman University,USA,67.3
1644Top 8.1%,Free University of Bozen-Bolzano,Italy,67.3
1645Top 8.1%,Federal Rural University of Pernambuco,Brazil,67.3
1646Top 8.1%,Payame Noor University,Iran,67.3
1647Top 8.1%,Shanghai University of Engineering Science,China,67.3
1648Top 8.1%,Cleveland State University,USA,67.3
1649Top 8.1%,Mendel University in Brno,Czech Republic,67.3
1650Top 8.1%,University of Guanajuato,Mexico,67.3
1651Top 8.1%,"California State University, Los Angeles",USA,67.3
1652Top 8.1%,Pontifical Catholic University of Rio de Janeiro,Brazil,67.3
1653Top 8.1%,Iwate Medical University,Japan,67.3
1654Top 8.1%,Glasgow Caledonian University,United Kingdom,67.3
1655Top 8.1%,Eastern Virginia Medical School,USA,67.2
1656Top 8.1%,Xinxiang Medical University,China,67.2
1657Top 8.1%,DePaul University,USA,67.2
1658Top 8.1%,Nelson Mandela University,South Africa,67.2
1659Top 8.1%,Jiangxi University of Science and Technology,China,67.2
1660Top 8.1%,Claremont Graduate University,USA,67.2
1661Top 8.1%,Minia University,Egypt,67.2
1662Top 8.1%,Institute for Pure and Applied Mathematics (IMPA),Brazil,67.2
1663Top 8.1%,China West Normal University,China,67.2
1664Top 8.2%,University of Ruhuna,Sri Lanka,67.2
1665Top 8.2%,Bharathiar University,India,67.2
1666Top 8.2%,Krasnoyarsk Science Center of the Siberian Branch of the Russian Academy of Sciences,Russia,67.2
1667Top 8.2%,Utah Valley University,USA,67.2
1668Top 8.2%,Yuan Ze University,Taiwan,67.2
1669Top 8.2%,University of Massachusetts Dartmouth,USA,67.2
1670Top 8.2%,Guizhou Medical University,China,67.2
1671Top 8.2%,University of Leoben,Austria,67.2
1672Top 8.2%,Kyorin University,Japan,67.2
1673Top 8.2%,University of the West of Scotland,United Kingdom,67.2
1674Top 8.2%,Catholic University of the North,Chile,67.2
1675Top 8.2%,Nazarbayev University,Kazakhstan,67.2
1676Top 8.2%,Bahçeşehir University,Turkey,67.2
1677Top 8.2%,Reed College,USA,67.2
1678Top 8.2%,Wonkwang University,South Korea,67.2
1679Top 8.2%,University of Trier,Germany,67.2
1680Top 8.2%,Bahauddin Zakariya University,Pakistan,67.1
1681Top 8.2%,National University of Cuyo,Argentina,67.1
1682Top 8.2%,International University of Health and Welfare,Japan,67.1
1683Top 8.2%,BI Norwegian Business School,Norway,67.1
1684Top 8.3%,University of Malta,Malta,67.1
1685Top 8.3%,Agricultural University of Athens,Greece,67.1
1686Top 8.3%,Rikkyo University,Japan,67.1
1687Top 8.3%,University of the Philippines Manila,Philippines,67.1
1688Top 8.3%,University of Niš,Serbia,67.1
1689Top 8.3%,Estonian University of Life Sciences,Estonia,67.1
1690Top 8.3%,Suzhou University of Science and Technology,China,67.1
1691Top 8.3%,Catholic University of Portugal,Portugal,67.1
1692Top 8.3%,Diego Portales University,Chile,67.1
1693Top 8.3%,"University of San Francisco, Quito",Ecuador,67.1
1694Top 8.3%,"California State University, Sacramento",USA,67.1
1695Top 8.3%,Chongqing Technology and Business University,China,67.1
1696Top 8.3%,University of Québec at Trois-Rivières,Canada,67.1
1697Top 8.3%,Kafrelsheikh University,Egypt,67.1
1698Top 8.3%,Yunnan Normal University,China,67.1
1699Top 8.3%,Yazd University,Iran,67.1
1700Top 8.3%,University of North Carolina Wilmington,USA,67.1
1701Top 8.3%,Pontifical Catholic University of Paraná,Brazil,67.1
1702Top 8.3%,Jiaxing University,China,67.1
1703Top 8.3%,Trinity University,USA,67.1
1704Top 8.3%,National University of Mar del Plata,Argentina,67.1
1705Top 8.4%,Federal University of Rio Grande,Brazil,67.0
1706Top 8.4%,G.K. Boreskov Institute of Catalysis of the Siberian Branch of the Russian Academy of Sciences,Russia,67.0
1707Top 8.4%,Myongji University,South Korea,67.0
1708Top 8.4%,Federation University Australia,Australia,67.0
1709Top 8.4%,Ohio Wesleyan University,USA,67.0
1710Top 8.4%,Western Washington University,USA,67.0
1711Top 8.4%,Prince Sattam Bin Abdulaziz University,Saudi Arabia,67.0
1712Top 8.4%,Georgia Southern University,USA,67.0
1713Top 8.4%,University of Agriculture in Krakow,Poland,67.0
1714Top 8.4%,Necmettin Erbakan University,Turkey,67.0
1715Top 8.4%,Westlake University,China,67.0
1716Top 8.4%,Laurentian University,Canada,67.0
1717Top 8.4%,Amrita Vishwa Vidyapeetham,India,67.0
1718Top 8.4%,Ibaraki University,Japan,67.0
1719Top 8.4%,Appalachian State University,USA,67.0
1720Top 8.4%,Fairfield University,USA,67.0
1721Top 8.4%,Sookmyung Women's University,South Korea,67.0
1722Top 8.4%,St. Marianna University School of Medicine,Japan,67.0
1723Top 8.4%,Gangneung-Wonju National University,South Korea,67.0
1724Top 8.4%,University of Health Sciences,Turkey,67.0
1725Top 8.5%,European University Institute,Italy,67.0
1726Top 8.5%,University of Molise,Italy,67.0
1727Top 8.5%,"Goldsmiths, University of London",United Kingdom,67.0
1728Top 8.5%,University of Fukui,Japan,67.0
1729Top 8.5%,University of Dhaka,Bangladesh,67.0
1730Top 8.5%,Tzu Chi University,Taiwan,67.0
1731Top 8.5%,Roskilde University,Denmark,66.9
1732Top 8.5%,Indian Institute of Management Calcutta,India,66.9
1733Top 8.5%,Kocaeli University,Turkey,66.9
1734Top 8.5%,Jiangxi Agricultural University,China,66.9
1735Top 8.5%,Space Research Institute of the Russian Academy of Sciences,Russia,66.9
1736Top 8.5%,"Queens College, City University of New York",USA,66.9
1737Top 8.5%,A.A. Kharkevich Institute for Information Transmission Problems of the Russian Academy of Sciences,Russia,66.9
1738Top 8.5%,Cyprus University of Technology,Cyprus,66.9
1739Top 8.5%,Malmö University,Sweden,66.9
1740Top 8.5%,Kermanshah University of Medical Sciences,Iran,66.9
1741Top 8.5%,Jilin Agricultural University,China,66.9
1742Top 8.5%,Umm Al-Qura University,Saudi Arabia,66.9
1743Top 8.5%,Xinyang Normal University,China,66.9
1744Top 8.5%,Ludong University,China,66.9
1745Top 8.5%,Southern Federal University,Russia,66.9
1746Top 8.6%,Shanxi Agricultural University,China,66.9
1747Top 8.6%,University of La Rioja,Spain,66.9
1748Top 8.6%,Federal University of Mato Grosso,Brazil,66.9
1749Top 8.6%,Ningxia University,China,66.9
1750Top 8.6%,University of Koblenz-Landau,Germany,66.9
1751Top 8.6%,Chengdu University,China,66.9
1752Top 8.6%,Comillas Pontifical University,Spain,66.9
1753Top 8.6%,Hubei University of Technology,China,66.9
1754Top 8.6%,Kongju National University,South Korea,66.9
1755Top 8.6%,PETRONAS University of Technology,Malaysia,66.9
1756Top 8.6%,University of Cassino and Southern Lazio,Italy,66.9
1757Top 8.6%,Hongik University,South Korea,66.8
1758Top 8.6%,University of Zielona Góra,Poland,66.8
1759Top 8.6%,Mekelle University,Ethiopia,66.8
1760Top 8.6%,University of Kurdistan,Iran,66.8
1761Top 8.6%,Doğuş University,Turkey,66.8
1762Top 8.6%,Alfaisal University,Saudi Arabia,66.8
1763Top 8.6%,Irkutsk Scientific Center of the Siberian Branch of the Russian Academy of Sciences,Russia,66.8
1764Top 8.6%,Shanghai Institute of Technology,China,66.8
1765Top 8.6%,James Madison University,USA,66.8
1766Top 8.7%,University of South-Eastern Norway,Norway,66.8
1767Top 8.7%,Jimma University,Ethiopia,66.8
1768Top 8.7%,Harokopio University,Greece,66.8
1769Top 8.7%,Industrial University of Santander,Colombia,66.8
1770Top 8.7%,Marshall University,USA,66.8
1771Top 8.7%,University of Notre Dame Australia,Australia,66.8
1772Top 8.7%,Chongqing Normal University,China,66.8
1773Top 8.7%,University of International Business and Economics,China,66.8
1774Top 8.7%,Federal University of Triângulo Mineiro,Brazil,66.8
1775Top 8.7%,University of Westminster,United Kingdom,66.8
1776Top 8.7%,University of Zimbabwe,Zimbabwe,66.8
1777Top 8.7%,National Dong Hwa University,Taiwan,66.8
1778Top 8.7%,Central European University,Hungary,66.8
1779Top 8.7%,Institute for Nuclear Research of the National Academy of Sciences of Ukraine,Ukraine,66.8
1780Top 8.7%,Ahvaz Jundishapur University of Medical Sciences,Iran,66.8
1781Top 8.7%,Central University of Finance and Economics,China,66.8
1782Top 8.7%,Akita University,Japan,66.8
1783Top 8.7%,Wrocław University of Environmental and Life Sciences,Poland,66.7
1784Top 8.7%,University of Nigeria,Nigeria,66.7
1785Top 8.7%,Kansai Medical University,Japan,66.7
1786Top 8.7%,Mae Fah Luang University,Thailand,66.7
1787Top 8.8%,Eulji University,South Korea,66.7
1788Top 8.8%,St. John's University,USA,66.7
1789Top 8.8%,University of Jammu,India,66.7
1790Top 8.8%,Dongbei University of Finance and Economics,China,66.7
1791Top 8.8%,Polytechnic Institute of Porto,Portugal,66.7
1792Top 8.8%,M.M. Shemyakin and Y.A. Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,Russia,66.7
1793Top 8.8%,Autonomous University of Chile,Chile,66.7
1794Top 8.8%,Kennesaw State University,USA,66.7
1795Top 8.8%,Polytechnic University of Cartagena,Spain,66.7
1796Top 8.8%,Liaoning Normal University,China,66.7
1797Top 8.8%,New Mexico Institute of Mining and Technology,USA,66.7
1798Top 8.8%,Eskişehir Osmangazi University,Turkey,66.7
1799Top 8.8%,Liaoning University of Technology,China,66.7
1800Top 8.8%,Qingdao University of Technology,China,66.7
1801Top 8.8%,Manisa Celal Bayar University,Turkey,66.7
1802Top 8.8%,V.M. Glushkov Institute of Cybernetics of the National Academy of Sciences of Ukraine,Ukraine,66.7
1803Top 8.8%,Mazandaran University of Medical Sciences,Iran,66.7
1804Top 8.8%,Technical University of Ostrava,Czech Republic,66.7
1805Top 8.8%,East Tennessee State University,USA,66.7
1806Top 8.8%,Sohag University,Egypt,66.7
1807Top 8.9%,South Dakota School of Mines and Technology,USA,66.7
1808Top 8.9%,Anhui University of Science and Technology,China,66.7
1809Top 8.9%,Ningxia Medical University,China,66.7
1810Top 8.9%,Brooklyn College,USA,66.6
1811Top 8.9%,Jazan University,Saudi Arabia,66.6
1812Top 8.9%,Dokkyo Medical University,Japan,66.6
1813Top 8.9%,East China University of Technology,China,66.6
1814Top 8.9%,Embry-Riddle Aeronautical University,USA,66.6
1815Top 8.9%,Taizhou University,China,66.6
1816Top 8.9%,College of Charleston,USA,66.6
1817Top 8.9%,Catholic University of Daegu,South Korea,66.6
1818Top 8.9%,University of Mazandaran,Iran,66.6
1819Top 8.9%,Sakarya University,Turkey,66.6
1820Top 8.9%,University of Talca,Chile,66.6
1821Top 8.9%,Kawasaki Medical School,Japan,66.6
1822Top 8.9%,University of the Highlands and Islands,United Kingdom,66.6
1823Top 8.9%,Yancheng Institute of Technology,China,66.6
1824Top 8.9%,Tribhuvan University,Nepal,66.6
1825Top 8.9%,Iwate University,Japan,66.6
1826Top 8.9%,Cracow University of Technology,Poland,66.6
1827Top 8.9%,Edinburgh Napier University,United Kingdom,66.6
1828Top 9%,Binzhou Medical University,China,66.6
1829Top 9%,Jackson State University,USA,66.6
1830Top 9%,University of Toulon,France,66.6
1831Top 9%,Anadolu University,Turkey,66.6
1832Top 9%,University of the Philippines Diliman,Philippines,66.6
1833Top 9%,Karlstad University,Sweden,66.6
1834Top 9%,East China Jiaotong University,China,66.6
1835Top 9%,Federal University of Ouro Preto,Brazil,66.6
1836Top 9%,Idaho State University,USA,66.6
1837Top 9%,A.M. Prokhorov General Physics Institute of the Russian Academy of Sciences,Russia,66.5
1838Top 9%,Federal University of Alagoas,Brazil,66.5
1839Top 9%,Sanjay Gandhi Postgraduate Institute of Medical Sciences,India,66.5
1840Top 9%,Chengdu University of Information Technology,China,66.5
1841Top 9%,Harbin Normal University,China,66.5
1842Top 9%,Technological Institute of Aeronautics,Brazil,66.5
1843Top 9%,Cooper Union,USA,66.5
1844Top 9%,University of Bialystok,Poland,66.5
1845Top 9%,Tunghai University,Taiwan,66.5
1846Top 9%,University of Science and Technology Liaoning,China,66.5
1847Top 9%,Jönköping University,Sweden,66.5
1848Top 9.1%,"Institute of Chemical Technology, Mumbai",India,66.5
1849Top 9.1%,Hubei University of Medicine,China,66.5
1850Top 9.1%,Suez University,Egypt,66.5
1851Top 9.1%,Kettering University,USA,66.5
1852Top 9.1%,Riga Technical University,Latvia,66.5
1853Top 9.1%,University of Rzeszów,Poland,66.5
1854Top 9.1%,Air Force Engineering University,China,66.5
1855Top 9.1%,University of Bergamo,Italy,66.5
1856Top 9.1%,Autonomous University of Sinaloa,Mexico,66.5
1857Top 9.1%,Shanxi Normal University,China,66.5
1858Top 9.1%,Union College,USA,66.5
1859Top 9.1%,Meiji University,Japan,66.5
1860Top 9.1%,Çankaya University,Turkey,66.5
1861Top 9.1%,"West Pomeranian University of Technology, Szczecin",Poland,66.5
1862Top 9.1%,"Indian Institute of Science Education and Research, Bhopal",India,66.5
1863Top 9.1%,Shaoxing University,China,66.5
1864Top 9.1%,IHE Delft Institute for Water Education,Netherlands,66.4
1865Top 9.1%,Oita University,Japan,66.4
1866Top 9.1%,Punjab Agricultural University,India,66.4
1867Top 9.1%,Wuhan Textile University,China,66.4
1868Top 9.1%,Dalian Polytechnic University,China,66.4
1869Top 9.2%,National University of the South,Argentina,66.4
1870Top 9.2%,SASTRA,India,66.4
1871Top 9.2%,Jiangxi University of Finance and Economics,China,66.4
1872Top 9.2%,Towson University,USA,66.4
1873Top 9.2%,Kaunas University of Technology,Lithuania,66.4
1874Top 9.2%,"Institute of Physical Chemistry, Polish Academy of Sciences",Poland,66.4
1875Top 9.2%,University of Lagos,Nigeria,66.4
1876Top 9.2%,Franklin & Marshall College,USA,66.4
1877Top 9.2%,Japan Advanced Institute of Science and Technology,Japan,66.4
1878Top 9.2%,Mediterranean University of Reggio Calabria,Italy,66.4
1879Top 9.2%,Polytechnic University of Hauts-de-France,France,66.4
1880Top 9.2%,Shiraz University of Technology,Iran,66.4
1881Top 9.2%,Ahmadu Bello University,Nigeria,66.4
1882Top 9.2%,La Rochelle University,France,66.4
1883Top 9.2%,Naval Postgraduate School,USA,66.4
1884Top 9.2%,Pamukkale University,Turkey,66.4
1885Top 9.2%,University of Nova Gorica,Slovenia,66.4
1886Top 9.2%,Kyoto Sangyo University,Japan,66.4
1887Top 9.2%,Saint Mary's University,Canada,66.4
1888Top 9.2%,Chengdu University of Traditional Chinese Medicine,China,66.4
1889Top 9.3%,Mid Sweden University,Sweden,66.4
1890Top 9.3%,WHU – Otto Beisheim School of Management,Germany,66.4
1891Top 9.3%,Federal University of Piauí,Brazil,66.3
1892Top 9.3%,A.N. Nesmeyanov Institute of Organoelement Compounds of the Russian Academy of Sciences,Russia,66.3
1893Top 9.3%,Lebanese University,Lebanon,66.3
1894Top 9.3%,Bandung Institute of Technology,Indonesia,66.3
1895Top 9.3%,Rajiv Gandhi University of Health Sciences,India,66.3
1896Top 9.3%,University of Ostrava,Czech Republic,66.3
1897Top 9.3%,Institute of Ecology (INECOL),Mexico,66.3
1898Top 9.3%,American University in Cairo,Egypt,66.3
1899Top 9.3%,University of Rajasthan,India,66.3
1900Top 9.3%,University of Karachi,Pakistan,66.3
1901Top 9.3%,University of Alaska Anchorage,USA,66.3
1902Top 9.3%,Federal University of Campina Grande,Brazil,66.3
1903Top 9.3%,Hanoi University of Science and Technology,Vietnam,66.3
1904Top 9.3%,"Indian Institute of Science Education and Research, Mohali",India,66.3
1905Top 9.3%,University of Madras,India,66.3
1906Top 9.3%,Far Eastern Federal University,Russia,66.3
1907Top 9.3%,Qassim University,Saudi Arabia,66.3
1908Top 9.3%,Institute for Scintillation Materials,Ukraine,66.3
1909Top 9.3%,Nara Women's University,Japan,66.3
1910Top 9.4%,ESCP Business School,France,66.3
1911Top 9.4%,Baqiyatallah University of Medical Sciences,Iran,66.3
1912Top 9.4%,Shahrood University of Technology,Iran,66.3
1913Top 9.4%,National Defense Medical College,Japan,66.3
1914Top 9.4%,Federal Rural University of Rio de Janeiro,Brazil,66.3
1915Top 9.4%,University of Valle,Colombia,66.3
1916Top 9.4%,Guru Nanak Dev University,India,66.3
1917Top 9.4%,Hankuk University of Foreign Studies,South Korea,66.3
1918Top 9.4%,University of South Wales,United Kingdom,66.3
1919Top 9.4%,N.D. Zelinsky Institute of Organic Chemistry of the Russian Academy of Sciences,Russia,66.2
1920Top 9.4%,Muhimbili University of Health and Allied Sciences,Tanzania,66.2
1921Top 9.4%,Qinghai University,China,66.2
1922Top 9.4%,Eastern Mediterranean University,Northern Cyprus,66.2
1923Top 9.4%,Başkent University,Turkey,66.2
1924Top 9.4%,Bond University,Australia,66.2
1925Top 9.4%,Josip Juraj Strossmayer University of Osijek,Croatia,66.2
1926Top 9.4%,"Victor Babeș University of Medicine and Pharmacy, Timișoara",Romania,66.2
1927Top 9.4%,Adolfo Ibáñez University,Chile,66.2
1928Top 9.4%,University of Sousse,Tunisia,66.2
1929Top 9.4%,Mälardalen University,Sweden,66.2
1930Top 9.5%,University of Science and Technology Houari Boumediene,Algeria,66.2
1931Top 9.5%,Reichman University,Israel,66.2
1932Top 9.5%,Institut supérieur de l'aéronautique et de l'espace,France,66.2
1933Top 9.5%,National Yunlin University of Science and Technology,Taiwan,66.2
1934Top 9.5%,Leeds Beckett University,United Kingdom,66.2
1935Top 9.5%,"Indian Institute of Science Education and Research, Thiruvananthapuram",India,66.2
1936Top 9.5%,"University of Puerto Rico, Río Piedras Campus",USA,66.2
1937Top 9.5%,Dalarna University,Sweden,66.2
1938Top 9.5%,Florida Agricultural and Mechanical University,USA,66.2
1939Top 9.5%,Federal University of Amazonas,Brazil,66.2
1940Top 9.5%,Kyoto Institute of Technology,Japan,66.2
1941Top 9.5%,Hamilton College,USA,66.2
1942Top 9.5%,Inner Mongolia Agricultural University,China,66.2
1943Top 9.5%,University of Technology of Compiègne,France,66.2
1944Top 9.5%,Kharazmi University,Iran,66.2
1945Top 9.5%,University of Burgos,Spain,66.2
1946Top 9.5%,An-Najah National University,Palestine,66.2
1947Top 9.5%,University of Veracruz,Mexico,66.1
1948Top 9.5%,Bahir Dar University,Ethiopia,66.1
1949Top 9.5%,Northeast Petroleum University,China,66.1
1950Top 9.5%,Technical University of Crete,Greece,66.1
1951Top 9.6%,Drew University,USA,66.1
1952Top 9.6%,Huaiyin Normal University,China,66.1
1953Top 9.6%,Yasouj University,Iran,66.1
1954Top 9.6%,Sinop University,Turkey,66.1
1955Top 9.6%,Siberian Federal University,Russia,66.1
1956Top 9.6%,University of La Réunion,France,66.1
1957Top 9.6%,"Graduate School & Training Center, Research Institute of Petroleum Exploration and Development",China,66.1
1958Top 9.6%,Giresun University,Turkey,66.1
1959Top 9.6%,Jianghan University,China,66.1
1960Top 9.6%,Zunyi Medical University,China,66.1
1961Top 9.6%,University of Sonora,Mexico,66.1
1962Top 9.6%,University of Shizuoka,Japan,66.1
1963Top 9.6%,Lanzhou Jiaotong University,China,66.1
1964Top 9.6%,Hebei University of Science and Technology,China,66.1
1965Top 9.6%,Gadjah Mada University,Indonesia,66.1
1966Top 9.6%,Nanjing University of Finance & Economics,China,66.1
1967Top 9.6%,Kanagawa University,Japan,66.1
1968Top 9.6%,University of Wolverhampton,United Kingdom,66.1
1969Top 9.6%,Hanoi Medical University,Vietnam,66.1
1970Top 9.6%,National Chiayi University,Taiwan,66.1
1971Top 9.7%,Çağ University,Turkey,66.1
1972Top 9.7%,A.V. Nikolaev Institute of Inorganic Chemistry of the Siberian Branch of the Russian Academy of Sciences,Russia,66.1
1973Top 9.7%,Indian Institute of Technology Ropar,India,66.1
1974Top 9.7%,University of Tabuk,Saudi Arabia,66.1
1975Top 9.7%,University of Winnipeg,Canada,66.0
1976Top 9.7%,University of Artois,France,66.0
1977Top 9.7%,Gansu Agricultural University,China,66.0
1978Top 9.7%,University of New Orleans,USA,66.0
1979Top 9.7%,King Faisal University,Saudi Arabia,66.0
1980Top 9.7%,Kerman University of Medical Sciences,Iran,66.0
1981Top 9.7%,University of Malaysia Pahang,Malaysia,66.0
1982Top 9.7%,İnönü University,Turkey,66.0
1983Top 9.7%,National United University,Taiwan,66.0
1984Top 9.7%,"Institute of Physics, Polish Academy of Sciences",Poland,66.0
1985Top 9.7%,Wellesley College,USA,66.0
1986Top 9.7%,Wuyi University,China,66.0
1987Top 9.7%,IFP School,France,66.0
1988Top 9.7%,Huaibei Normal University,China,66.0
1989Top 9.7%,South Ural State University,Russia,66.0
1990Top 9.7%,Ss. Cyril and Methodius University in Skopje,North Macedonia,66.0
1991Top 9.7%,Hunan University of Technology,China,66.0
1992Top 9.8%,Zurich University of Applied Sciences (ZHAW),Switzerland,66.0
1993Top 9.8%,Technical University of Košice,Slovak Republic,66.0
1994Top 9.8%,Guangdong Ocean University,China,66.0
1995Top 9.8%,"University of Djillali Liabès, Sidi Bel-Abbès",Algeria,66.0
1996Top 9.8%,Chongqing Jiaotong University,China,66.0
1997Top 9.8%,University of Arkansas at Little Rock,USA,66.0
1998Top 9.8%,Van Yüzüncü Yıl University,Turkey,66.0
1999Top 9.8%,Bharathidasan University,India,66.0
2000Top 9.8%,Gebze Technical University,Turkey,66.0
