Rank,Universitas,Negara,Score
236Top 1.2%,University of Miami,USA,78.0
237Top 1.2%,University of Sussex,United Kingdom,78.0
238Top 1.2%,Charles University in Prague,Czech Republic,78.0
239Top 1.2%,Brandeis University,USA,77.9
240Top 1.2%,University of Illinois at Chicago,USA,77.9
241Top 1.2%,University of Cincinnati,USA,77.9
242Top 1.2%,Karlsruhe Institute of Technology,Germany,77.9
243Top 1.2%,Claude Bernard University Lyon 1,France,77.9
244Top 1.2%,Hong Kong Polytechnic University,China,77.8
245Top 1.2%,King Abdulaziz University,Saudi Arabia,77.8
246Top 1.2%,Kyushu University,Japan,77.8
247Top 1.3%,Trinity College Dublin,Ireland,77.8
248Top 1.3%,University of Leicester,United Kingdom,77.8
249Top 1.3%,Complutense University of Madrid,Spain,77.7
250Top 1.3%,Yeshiva University,USA,77.7
251Top 1.3%,City University of Hong Kong,China,77.7
252Top 1.3%,"University of California, Riverside",USA,77.7
253Top 1.3%,University of Reading,United Kingdom,77.7
254Top 1.3%,Beihang University,China,77.7
255Top 1.3%,University of Exeter,United Kingdom,77.6
256Top 1.3%,University of Texas Health Science Center at Houston,USA,77.6
257Top 1.3%,Paul Sabatier University,France,77.6
258Top 1.3%,Maastricht University,Netherlands,77.6
259Top 1.3%,University of Bordeaux,France,77.6
260Top 1.3%,Colorado State University,USA,77.5
261Top 1.3%,University of Houston,USA,77.5
262Top 1.3%,Wake Forest University,USA,77.5
263Top 1.3%,Delft University of Technology,Netherlands,77.5
264Top 1.3%,University of Florence,Italy,77.5
265Top 1.3%,Virginia Commonwealth University,USA,77.4
266Top 1.3%,Dalian University of Technology,China,77.4
267Top 1.4%,University of Cape Town,South Africa,77.4
268Top 1.4%,University of Auckland,New Zealand,77.4
269Top 1.4%,Oregon Health & Science University,USA,77.4
270Top 1.4%,Virginia Tech,USA,77.4
271Top 1.4%,University of Genoa,Italy,77.3
272Top 1.4%,University of Pisa,Italy,77.3
273Top 1.4%,Oregon State University,USA,77.3
274Top 1.4%,China Europe International Business School,China,77.3
275Top 1.4%,Leipzig University,Germany,77.3
276Top 1.4%,National Autonomous University of Mexico,Mexico,77.3
277Top 1.4%,P.N. Lebedev Physical Institute of the Russian Academy of Sciences,Russia,77.2
278Top 1.4%,National and Kapodistrian University of Athens,Greece,77.2
279Top 1.4%,King Abdullah University of Science and Technology,Saudi Arabia,77.2
280Top 1.4%,HEC Paris,France,77.2
281Top 1.4%,University of Tsukuba,Japan,77.2
282Top 1.4%,University of Manitoba,Canada,77.1
283Top 1.4%,University of Lorraine,France,77.1
284Top 1.4%,University of East Anglia,United Kingdom,77.1
285Top 1.4%,University of Valencia,Spain,77.1
286Top 1.4%,University of Bergen,Norway,77.1
287Top 1.4%,George Washington University,USA,77.1
288Top 1.5%,University College Dublin,Ireland,77.0
289Top 1.5%,Medical University of Vienna,Austria,77.0
290Top 1.5%,University of the Witwatersrand,South Africa,77.0
291Top 1.5%,Autonomous University of Madrid,Spain,77.0
292Top 1.5%,University of Antwerp,Belgium,77.0
293Top 1.5%,Beijing Institute of Technology,China,77.0
294Top 1.5%,University of Electronic Science and Technology of China,China,76.9
295Top 1.5%,Florida State University,USA,76.9
296Top 1.5%,University of Liège,Belgium,76.9
297Top 1.5%,University of Southern Denmark,Denmark,76.9
298Top 1.5%,Hunan University,China,76.9
299Top 1.5%,Laval University,Canada,76.9
300Top 1.5%,Zhengzhou University,China,76.8
301Top 1.5%,University of Massachusetts Medical School,USA,76.8
302Top 1.5%,Washington State University,USA,76.8
303Top 1.5%,"University of Maryland, Baltimore",USA,76.8
304Top 1.5%,Beijing Normal University,China,76.8
305Top 1.5%,University at Buffalo,USA,76.8
306Top 1.5%,"University of California, Santa Cruz",USA,76.8
307Top 1.5%,University of Aberdeen,United Kingdom,76.7
308Top 1.6%,University of Delaware,USA,76.7
309Top 1.6%,University of Porto,Portugal,76.7
310Top 1.6%,University of Kentucky,USA,76.7
311Top 1.6%,University of Pavia,Italy,76.7
312Top 1.6%,Hanyang University,South Korea,76.7
313Top 1.6%,University of Lille,France,76.6
314Top 1.6%,University of South Florida,USA,76.6
315Top 1.6%,University of Duisburg-Essen,Germany,76.6
316Top 1.6%,Chongqing University,China,76.6
317Top 1.6%,National Yang Ming Chiao Tung University,Taiwan,76.6
